X1,X2,X3,X4,X5,X6,X7,X8,Label,,,
0.09749,0.10327,0.14018,0.15966,0.12082,0.12073,0.011585,0.018032,2,,,
0.079455,0.074613,0.12222,0.14644,0.10236,0.10251,0.012076,0.021564,2,,,
0.071982,0.066705,0.099356,0.14594,0.087727,0.087605,0.0082824,0.016906,2,,,
0.051994,0.044589,0.085105,0.12178,0.066026,0.0659,0.0086212,0.018222,2,,,
0.18062,0.17872,0.35429,0.25565,0.21575,0.21612,0.044805,0.024125,2,,,
0.17028,0.17748,0.25027,0.32257,0.20706,0.20729,0.024495,0.039567,2,,,
0.10235,0.13801,0.23088,0.30756,0.1769,0.17633,0.030527,0.044475,2,,,
0.079371,0.083187,0.13338,0.1521,0.10789,0.10764,0.017765,0.018083,2,,,
0.022527,0.021072,0.051218,0.059081,0.03599,0.036019,0.0079966,0.0092515,2,,,
0.071312,0.05811,0.16351,0.26911,0.10528,0.10489,0.026013,0.051361,2,,,
0.11392,0.1016,0.18996,0.35772,0.14371,0.14326,0.018432,0.0585,2,,,
0.060422,0.051337,0.094441,0.1194,0.075922,0.07655,0.0093958,0.022042,2,,,
0.057875,0.052951,0.094743,0.11696,0.074541,0.074997,0.0093408,0.021896,2,,,
0.016371,0.012398,0.050266,0.16025,0.032314,0.032514,0.0084082,0.03607,2,,,
0.086343,0.053387,0.15224,0.25661,0.11548,0.11683,0.017452,0.067386,2,,,
0.065031,0.074563,0.14252,0.15023,0.098636,0.099058,0.021332,0.020824,2,,,
0.065175,0.068284,0.13849,0.14624,0.085816,0.085991,0.016333,0.018045,2,,,
0.042169,0.037946,0.094322,0.1338,0.068826,0.069118,0.016212,0.030006,2,,,
0.12249,0.086163,0.28031,0.20478,0.14902,0.14953,0.039176,0.03325,3,,,
0.0068627,0.032882,0.2777,0.043542,0.037205,0.036736,0.070685,0.0028204,3,,,
0.0051532,0.015471,0.1051,0.031806,0.025123,0.024518,0.032842,0.0052682,3,,,
0.10766,0.059429,0.23589,0.18298,0.13171,0.13169,0.034455,0.038811,3,,,
0.10273,0.12381,0.20994,0.16819,0.13727,0.13719,0.03262,0.0099779,3,,,
0.06635,0.053373,0.29322,0.13269,0.096487,0.096497,0.051698,0.024206,3,,,
0.10526,0.11757,0.37026,0.1587,0.14324,0.1427,0.064573,0.011622,3,,,
0.0084727,0.02814,0.2744,0.074383,0.032723,0.032942,0.061303,0.0082807,3,,,
0.058392,0.053361,0.35389,0.15244,0.10463,0.10405,0.078476,0.03153,3,,,
0.080634,0.090424,0.24925,0.12964,0.11023,0.11019,0.03155,0.010597,3,,,
0.028092,0.043147,0.29829,0.058814,0.053382,0.053662,0.054055,0.0040381,3,,,
0.029982,0.046681,0.19213,0.063134,0.053988,0.054434,0.038706,0.0051298,3,,,
0.058392,0.053361,0.35389,0.15244,0.10463,0.10405,0.078476,0.03153,3,,,
0.028032,0.044475,0.27212,0.060535,0.053859,0.053703,0.051926,0.0041132,3,,,
0.078012,0.12046,0.28841,0.14928,0.13451,0.13374,0.06157,0.0076135,3,,,
0.21596,0.20909,0.30624,0.2842,0.24238,0.24339,0.022708,0.015871,3,,,
0.21916,0.22871,0.35642,0.2868,0.25541,0.25516,0.034484,0.014505,3,,,
